YEAR,MONTH,AREA_ID,AREA,DISTRICT_ID,DISTRICT,SITE,store,SITE_DES,LOCATION,PART_NO,PROD_DES,PART_STATUS,CL_BAL, SEL_CASH_PRICE ,PROD_FAMILY,PROD_FAMILY_DES,CAT -01 ,COMMODITY,COM_DES,BRAND_CODE,BRAND_DES, MRP , MOP , Current Discount % ,COMMENTS / DISCOUNT GUIDELINE
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,DISPLAY,NCPDG-SET3,36316-OMEGA DELUXE GRANITE SET 3 PCS,O,1," 15,999.00 ",PF101,KITCHENAPP - NON STICK COOKWARE,,2G460,PRESTIGE NON STICK COOKWARE,BR037,PRESTIGE," 15,999 "," 12,799 ", 0 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,DISPLAY,NCPO-DC200,30739-DEEP APPACHATTY 200MM,O,1," 5,199.00 ",PF101,KITCHENAPP - NON STICK COOKWARE,,2G460,PRESTIGE NON STICK COOKWARE,BR037,PRESTIGE," 5,199 "," 4,419 ", 0 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,DISPLAY,NCPO-FP200,30714-FRY PAN 200MM,O,1," 3,099.00 ",PF101,KITCHENAPP - NON STICK COOKWARE,,2G460,PRESTIGE NON STICK COOKWARE,BR037,PRESTIGE," 3,099 "," 2,696 ", 0 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,DISPLAY,NCPO-FP280,30716-FRY PAN 280MM,O,1," 5,699.00 ",PF101,KITCHENAPP - NON STICK COOKWARE,,2G460,PRESTIGE NON STICK COOKWARE,BR037,PRESTIGE," 5,699 "," 4,787 ", 0 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,NCPO-FP280,30716-FRY PAN 280MM,O,1," 5,699.00 ",PF101,KITCHENAPP - NON STICK COOKWARE,,2G460,PRESTIGE NON STICK COOKWARE,BR037,PRESTIGE," 5,699 "," 4,787 ", 0 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,DEFECTIVE,HP-DESKJET-4175,HP DESKJET IA 4175 PRINTER,L,1," 48,899.00 ",PF074,PRINTERS,,2G820,HP PRINTERS,BR136,HP," 48,899 "," 19,560 ", 1 , End of Life Model - Offer 40% 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,K-HOSE-30MM,Karcher Primoflex 1/2 30mm Hose,A,1," 14,199.00 ",PF112,GARDEN EQUIPMENT,,2G953,KARCHER GARDEN EQUIPMENT,BR024,KARCHER," 14,199 ", -   , -   , -   
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,K-HOSE-TY20MM,Karcher Hose Trolley– with 20 mm Hose,A,1," 43,299.00 ",PF112,GARDEN EQUIPMENT,,2G953,KARCHER GARDEN EQUIPMENT,BR024,KARCHER," 43,299 ", -   , -   , -   
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,REVERTS,KA-ELITE,SINGER MIXER GRINDER,O,1," 19,999.00 ",PF184,KITCHENAPP-GRINDERS & BLENDERS,,2G766,SINGER GRINDERS & BLENDERS,BR044,SINGER," 19,999 "," 8,000 ", 1 , Provide additional 30% for display units and total upto 80% for damage units 
2026,7,13016,SOUTH REGION UVA  AREA,25,BADULLA  DISTRICT,BOF01,SHOP,HAPUTHALE,NORMAL,BRP-CASERL16,BRISTO NON-STICK CASSEROLE 16 CM,O,1," 4,799.00 ",PF101,KITCHENAPP - NON STICK COOKWARE,,2G925,BRISTO NON STICK COOKWARE,BR243,BRISTO," 4,799 "," 3,695 ", 0 , Provide additional 30% for display units and total upto 80% for damage units 
